event_id,sipm0,sipm1,sipm2,sipm3,sipm4,sipm5,sipm6,sipm7,sipm8,sipm9,sipm10,sipm11,sipm12,sipm13,sipm14,sipm15,x(mm),y(mm),z(mm),LCE (%)
0,3,6,10,1,3,2,5,1,0,5,2,3,0,3,4,0,-25.8657,8.24258,12.5,48
1,2,1,1,2,3,1,2,7,1,4,5,11,1,2,3,2,6.20395,20.8483,12.5,48
2,3,4,7,3,6,5,4,6,2,3,1,4,3,1,3,1,-8.10409,1.06871,12.5,56
3,2,3,9,4,0,1,7,1,2,1,3,0,4,2,3,1,-34.2214,11.5015,12.5,43
4,3,0,1,3,4,3,2,1,6,3,2,5,17,3,2,2,21.4258,-31.9513,12.5,57
5,8,1,3,3,4,4,4,3,4,4,1,2,4,2,2,0,-11.9517,-25.4471,12.5,49
6,4,1,5,2,2,3,5,2,3,3,3,5,5,2,5,2,14.7223,1.66699,12.5,52
7,2,1,1,1,3,1,4,0,3,3,3,4,0,4,4,1,15.6725,12.8503,12.5,35
8,2,4,1,2,0,2,2,1,1,2,2,2,4,9,5,1,24.6616,-2.62028,12.5,40
9,17,4,1,3,0,2,4,3,3,4,2,1,2,3,3,1,-25.4868,-25.4696,12.5,53
10,6,6,5,1,10,3,3,0,4,3,1,3,5,3,4,0,-11.7475,-17.5784,12.5,57
11,1,2,1,3,0,2,5,0,5,1,7,9,2,4,5,9,22.6838,19.4951,12.5,56
12,2,5,6,10,2,1,1,7,2,1,1,1,1,2,2,2,-22.433,13.0876,12.5,46
13,11,11,2,5,1,1,1,3,1,1,1,5,3,2,2,1,-20.523,-15.2726,12.5,51
14,0,1,0,6,1,0,3,5,2,4,2,6,2,1,4,7,6.08772,21.644,12.5,44
15,4,2,2,2,1,2,6,7,3,4,1,8,0,1,4,2,-7.19406,31.9659,12.5,49
16,5,9,5,4,3,4,1,3,2,2,3,3,3,0,3,1,-16.7718,-2.55268,12.5,51
17,2,3,1,3,6,2,4,3,6,7,3,2,1,1,2,1,2.28096,-23.9256,12.5,47
18,8,6,3,3,8,3,3,1,0,1,1,1,6,2,0,3,-7.93103,-32.1337,12.5,49
